,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Earth,Europa,Mars,55 Cancri e,PSO J318.5-22,TRAPPIST-1e
0,0,39.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1
1,0,24.0,0,109.0,9.0,25.0,549.0,44.0,1,1,0,0,0,0,1
2,0,58.0,1,43.0,3576.0,0.0,6715.0,49.0,0,0,1,0,0,0,1
3,0,33.0,0,0.0,1283.0,371.0,3329.0,193.0,0,0,1,0,0,0,1
4,0,16.0,0,303.0,70.0,151.0,565.0,2.0,1,1,0,0,0,0,1
5,0,44.0,0,0.0,483.0,0.0,291.0,0.0,1,1,0,0,0,1,0
6,0,26.0,0,42.0,1539.0,3.0,0.0,0.0,1,1,0,0,0,0,1
7,1,28.0,0,0.0,0.0,0.0,0.0,304.8547912992357,1,1,0,0,0,0,1
8,0,35.0,0,0.0,785.0,17.0,216.0,0.0,1,1,0,0,0,0,1
9,1,14.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0
10,1,34.0,0,0.0,0.0,173.72916912197996,0.0,0.0,1,0,1,0,0,0,1
11,0,45.0,0,39.0,7295.0,589.0,110.0,124.0,1,0,1,0,1,0,0
12,0,32.0,0,73.0,0.0,1123.0,0.0,113.0,1,0,0,1,0,0,1
13,0,48.0,0,719.0,1.0,65.0,0.0,24.0,0,1,0,0,0,0,1
14,0,28.0,0,8.0,974.0,12.0,2.0,7.0,1,1,0,0,0,0,1
15,0,31.0,0,32.0,0.0,876.0,0.0,0.0,0,1,0,0,0,0,1
16,0,27.0,0,1286.0,122.0,173.72916912197996,0.0,0.0,0,0,0,1,1,0,0
17,0,24.0,0,0.0,1.0,0.0,0.0,637.0,0,1,0,0,1,0,0
18,1,45.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1
19,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1
20,0,14.0,0,412.0,0.0,1.0,0.0,679.0,0,1,0,0,1,0,0
21,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1
22,1,49.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0
23,1,29.0,0,0.0,0.0,173.72916912197996,0.0,0.0,0,1,0,0,1,0,0
24,0,10.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1
25,1,1.0,0,224.687617481203,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0
26,0,7.0,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1
27,0,21.0,0,980.0,2.0,69.0,0.0,0.0,0,0,0,1,0,0,1
28,1,62.0,0,0.0,0.0,173.72916912197996,0.0,0.0,1,0,1,0,0,0,1
29,0,15.0,0,0.0,225.0,0.0,998.0,0.0,0,1,0,0,0,0,1
